A,B,C,D
123,123,123,1854
472,236,236,412
1749,1749,1749,787
442,652,1725,819
824,824,1648,1482
289,289,578,1332
237,1763,1372,763
978,1012,1542,777
229,68,1039,1032
1728,864,864,297
1446,388,1639,1502
166,920,52,459
1260,799,1905,1615
1337,1254,655,339
632,316,316,1821
68,68,136,403
876,1847,1567,651
703,4,753,49
733,897,33,589
1693,1531,351,1070
672,1851,179,509
1794,897,897,600
1518,1807,400,1452
1654,827,827,1865
835,835,1670,1707
237,1540,679,136
295,347,847,784
1828,914,914,903
537,1198,1279,966
548,274,274,788
127,1079,1763,1150
663,663,1326,1418
36,125,785,1369
835,835,1670,911
162,822,138,130
859,1295,510,1994
805,441,565,1634
1236,618,618,1531
1522,1905,1429,704
42,955,1814,693
942,942,1884,930
661,961,837,440
948,1252,1927,1290
1032,930,1783,1950
1156,72,404,495
113,1208,954,541
751,751,1502,312
1761,1338,51,700
1204,1204,1204,1863
1504,1808,1538,254
954,394,1820,545
44,44,88,579
480,240,240,41
1972,421,1817,955
310,915,51,591
858,1716,858,1388
821,850,726,1505
1668,1977,1217,1301
1250,125,1749,611
436,92,1044,1375
377,249,1738,1246
1699,1675,1922,443
1734,1556,1234,485
173,346,173,1161
4,4,4,321
430,768,1541,1682
1642,739,1284,94
328,1300,1107,1933
739,1478,739,1351
247,247,494,1816
223,1424,352,300
1886,1956,1424,1990
710,710,1420,1638
144,288,144,1607
1864,1864,1864,251
1442,771,1418,1358
464,1690,43,1857
337,948,237,923
1801,776,1333,815
1630,472,993,871
423,423,846,762
758,862,159,1040
533,1433,913,65
17,292,954,1516
117,117,117,1999
721,721,721,535
1121,104,266,44
1887,1540,1832,421
1675,1620,1017,1881
1049,612,819,352
948,474,474,842
767,962,964,317
224,1797,763,1223
749,1315,15,935
515,1265,1528,128
745,1490,745,1897
850,850,850,516
582,1207,1767,1792
303,606,303,1010
146,146,292,210
251,610,1723,335
1191,1191,1191,1135
123,1152,383,1296
851,635,1411,818
776,1313,249,1590
728,1035,1935,1019
966,475,1432,1334
1864,1864,1864,1001
569,1138,569,754
1245,391,1653,967
1601,623,564,76
357,1608,1290,1512
795,795,795,866
391,391,782,123
1837,1789,590,581
1221,1763,1603,533
546,1961,452,1700
1556,778,778,823
446,844,1427,940
1076,853,1508,1178
90,180,90,600
1080,1976,1552,1679
1484,146,853,1722
383,383,766,1563
1745,160,1978,1880
830,1449,516,1768
970,714,502,179
1546,1461,378,426
941,941,941,201
1794,922,352,1139
523,1046,523,875
356,356,356,1320
1397,1216,1099,565
698,349,349,1829
764,844,1176,1620
1109,1043,736,1800
1322,661,661,902
214,214,214,1671
534,1068,534,1006
1895,427,375,1096
1828,958,1268,1692
1893,1848,1800,74
1836,1228,1149,1022
1707,1231,1485,201
42,805,1007,1828
1120,982,1691,1610
760,1780,241,380
946,946,1892,570
1029,316,1598,740
190,190,380,1078
1409,830,584,1447
387,774,387,5
936,693,1306,1456
976,1952,976,891
297,543,1346,801
1512,756,756,1791
921,415,1079,1555
647,647,1294,1487
250,250,500,621
1579,1212,1142,1054
1617,1617,1617,861
158,1163,232,1555
28,1677,1492,126
1594,1429,1197,1834
989,1528,560,1707
1270,576,102,1258
457,457,457,177
977,1581,671,321
1258,1843,1806,1616
1087,1087,1087,1690
215,215,430,578
1564,782,782,1007
1993,1908,326,1747
1446,1759,692,846
986,1803,51,649
1427,1374,218,1205
1931,1267,863,588
103,103,103,446
13,13,26,449
286,1366,1754,592
180,1091,1246,87
846,423,423,1958
210,132,875,1795
97,938,1213,558
1033,1660,1391,1306
443,1542,1756,415
945,945,1890,1885
1013,302,1849,1171
410,410,410,715
726,233,1287,170
1959,1643,1765,1757
417,417,834,917
775,687,298,185
754,1013,682,105
197,197,197,1104
642,642,1284,1128
1951,796,832,325
1665,833,1712,1848
135,818,1912,1750
1087,655,969,726
312,1665,378,1123
1803,1953,489,1465
557,1416,91,1166
1902,489,249,831
753,113,1018,498
1998,999,999,1598
1690,113,924,208
1657,1657,1657,1590
703,703,1406,1917
338,874,49,1712
708,354,354,1354
508,181,711,759
1629,1374,1237,375
1285,456,236,353
1242,423,1882,1060
1780,802,871,595
1000,1000,1000,1561
975,435,675,13
240,240,480,1232
1388,527,842,1083
1795,33,1749,819
814,1665,548,1646
45,679,784,568
903,1298,508,991
1328,545,1079,1606
514,1772,204,83
379,271,547,1432
1456,1394,416,1927
1715,1394,1282,872
1425,1428,955,1227
695,695,1390,372
1356,1799,734,270
912,443,1597,722
1911,440,826,1559
450,900,450,1444
1424,954,1638,1891
269,1284,1134,46
1267,600,469,650
707,707,1414,1935
1494,747,747,1879
1665,714,1778,724
937,734,326,1535
602,204,321,1080
542,271,271,125
389,778,389,1293
1821,1275,1612,172
976,841,665,468
1269,1269,1269,169
1550,1883,1813,907
1862,1735,608,316
736,1472,736,130
1155,731,557,1468
934,467,467,1537
1571,696,884,947
696,696,1392,34
685,1408,592,961
1545,177,1463,1481
491,667,1711,1461
1348,1076,230,1001
558,1116,558,558
1452,1111,482,1749
1829,308,1528,1156
849,1698,849,1765
1750,1750,1750,1685
1361,172,193,1014
794,397,397,90
710,1420,710,1858
1978,1978,1978,1421
1711,317,1545,55
1380,1621,1889,829
887,887,1774,324
584,1165,1827,1150
1888,1135,1421,406
490,752,569,106
1933,418,1648,1771
1471,1576,527,112
374,234,933,275
676,1352,676,434
745,745,1490,170
1872,740,169,767
851,1618,1177,459
993,65,1261,339
603,960,1231,1156
209,418,209,728
855,68,22,501
975,1950,975,539
192,192,384,376
1072,1468,1420,827
1633,1633,1633,1882
348,696,348,812
781,1562,781,1706
951,1131,693,197
322,1094,1377,1603
271,271,542,498
1871,1632,1632,58
281,608,1278,1234
1152,1149,1665,1282
540,766,1733,1347
1225,1225,1225,1782
530,530,1060,1828
1359,1732,485,496
550,550,550,1452
1975,1934,140,57
962,618,1367,851
498,249,249,610
1404,1918,213,523
718,718,1436,951
1616,1630,1155,393
1347,1492,1474,1573
667,572,584,297
1392,696,696,9
1530,49,1533,634
317,326,307,1158
1473,368,1850,313
835,835,1670,276
535,1566,594,1757
476,952,476,658
505,1898,1214,772
1628,295,337,1949
1499,201,1425,1780
507,1790,1489,727
168,84,84,1855
95,95,95,1480
1115,717,1065,171
236,118,118,526
805,1158,725,478
1265,1129,1127,229
1321,136,421,368
537,1074,537,201
313,850,118,314
956,817,1896,408
631,344,1460,1542
332,16,1962,786
886,1533,1347,1182
821,1806,1215,1167
511,1022,511,458
1829,1846,771,1154
666,666,666,535
207,207,414,1164
473,946,473,1967
1757,818,574,1656
1885,1147,1643,1528
904,904,1808,1873
624,1248,624,31
506,506,1012,592
167,622,819,1813
1560,867,1457,87
56,86,496,1044
15,15,15,356
1653,1939,731,681
1813,869,407,1318
58,29,29,539
1845,759,1520,567
463,1361,1501,219
764,1954,668,527
174,1209,105,1944
191,1435,1784,138
1973,1541,1115,1993
433,231,1496,1753
1711,1294,666,4
81,81,81,399
1969,1330,1411,1295
1645,1546,1834,117
645,645,645,1904
174,174,174,1171
1452,726,726,963
928,1856,928,403
486,243,243,1270
642,1449,1534,1551
1216,608,608,1256
214,107,107,1492
649,1298,649,886
1627,1430,1354,1768
138,138,276,330
1168,763,1728,1750
1004,1821,1740,1451
198,562,487,1012
421,421,842,1406
1351,1772,1900,1149
819,818,40,1770
1539,405,1824,1850
654,327,327,857
752,376,376,1356
732,405,794,293
687,1374,687,1786
813,647,555,1123
368,736,368,230
525,1436,139,505
1779,477,491,305
319,1171,819,432
1362,1362,1362,56
572,286,286,1261
1192,596,596,1041
522,522,1044,1815
329,329,658,934
165,165,330,153
1829,207,1532,542
85,1421,629,164
628,1590,1909,1135
877,1066,291,204
465,368,1084,324
1784,1784,1784,798
674,337,337,724
1491,1377,138,820
690,656,1607,939
101,668,681,798
682,817,1022,1366
420,423,343,1150
1686,926,725,1740
130,65,65,248
1629,431,1004,231
817,1084,535,14
271,271,542,987
920,1018,1042,46
611,1263,678,185
1284,412,1198,1837
1267,1446,1267,1890
907,721,734,592
1461,1602,10,308
320,797,677,523
691,1661,339,1479
1141,1421,1351,697
925,557,424,805
563,1505,1079,1799
918,385,1020,1294
418,836,418,1461
1764,882,882,810
1303,186,874,1538
1123,659,38,1257
768,768,1536,548
841,1628,145,597
1798,586,1427,55
780,1560,780,869
632,410,1252,1987
1956,1841,174,1038
106,212,106,450
645,357,1345,548
1318,816,1745,126
472,472,472,289
80,40,40,1828
961,1922,961,342
1736,624,1677,309
976,291,422,742
273,273,546,764
81,1299,1489,1957
1144,242,1596,14
452,226,226,837
644,445,226,1130
1042,1042,1042,1840
469,938,469,86
358,358,716,29
842,478,1044,1130
891,1782,891,913
1511,1511,1511,637
1460,330,87,1782
1194,271,965,1771
663,1326,663,1490
1205,345,746,612
1860,1063,481,1475
643,1170,382,48
600,1200,600,49
303,606,303,847
1189,458,1693,347
1738,1752,1929,1344
1631,664,1895,1901
111,1738,180,392
797,1451,501,1312
390,390,390,826
330,330,660,1512
170,137,1213,1563
328,656,328,641
446,223,223,614
906,639,1594,1786
1172,1463,230,1183
1907,236,548,691
491,982,491,1938
1800,132,1776,861
656,1149,116,53
180,180,1128,604
643,1958,608,1517
1411,1411,1411,1281
802,494,1639,212
482,964,482,1337
760,1520,760,757
995,1174,1829,982
1491,1210,1026,1511
1814,907,907,1495
968,653,778,83
1116,558,558,99
1323,431,1686,1448
1945,38,913,766
445,1592,718,1308
128,1325,1497,649
1527,192,782,959
1241,1241,1241,1244
1768,884,884,158
144,1846,1285,1289
657,657,657,1826
1173,1605,1088,1810
587,824,26,553
1070,1658,364,1404
1182,222,661,642
912,630,806,1113
1772,886,886,247
1585,1532,1089,388
308,1139,1766,1109
1645,3,1340,332
21,733,1623,240
570,1920,316,1901
905,1585,1822,1286
1630,815,815,1062
172,86,86,1647
618,1966,1828,1171
1071,1432,1776,516
443,1057,234,869
1915,1252,15,1519
1302,696,1065,848
284,200,609,1917
159,909,117,38
265,265,530,1756
3,6,3,1305
1268,1103,101,1446
1072,536,536,886
1054,1754,1876,69
1551,1274,1313,1264
759,759,1518,1808
1480,430,132,211
1930,965,965,1301
1950,975,975,532
1750,1750,1750,1070
182,364,182,827
279,279,558,1719
770,1540,770,71
1728,1368,519,667
476,525,1733,646
461,461,461,908
548,1749,341,939
1676,1676,1676,612
407,1159,1180,1582
596,596,1192,819
1354,1354,1354,1250
1475,479,786,146
723,723,723,991
1099,608,367,71
371,277,1292,33
619,1588,1855,413
572,1159,1563,1567
609,1308,874,1227
1461,1461,1461,930
557,549,1940,1452
1700,1700,1700,1582
516,516,516,1397
787,539,107,724
1836,1576,1272,1847
936,254,1549,757
279,490,1814,1683
594,1722,189,1415
1560,540,1340,1041
1262,72,1994,528
640,1546,1932,613
1427,531,1588,696
699,699,1398,1367
429,429,429,570
360,180,180,179
1079,175,1899,209
956,164,274,1659
545,1796,1318,1253
35,78,1079,1357
531,1062,531,1222
586,1172,586,1674
68,34,34,1737
191,1045,106,408
813,813,1626,719
1495,1917,45,1623
730,1986,310,108
380,190,190,1942
254,503,1789,344
1458,1458,1458,613
1171,364,333,1654
1127,1127,1127,1506
1262,1328,529,500
151,994,822,108
1347,833,801,1698
1415,1859,1114,728
1123,1548,1616,147
431,522,942,1605
67,1775,782,1480
1566,783,783,1741
1588,1763,1011,905
767,107,1376,1251
1247,1444,1251,789
1829,586,737,1051
987,987,1974,1273
1805,185,432,1584
248,124,124,1702
489,978,489,1803
1724,1646,1821,118
164,328,164,1298
1604,802,802,751
845,845,1690,1820
844,80,1118,754
387,1462,1151,891
15,30,15,255
1937,654,813,1270
495,1047,1303,1222
919,217,279,808
1240,212,1722,724
745,745,745,510
1053,1053,1053,470
399,631,1999,331
1389,1389,1389,1945
394,663,1358,788
263,532,1684,336
596,1833,550,850
801,907,1877,1567
78,78,156,318
756,429,84,845
1827,282,1237,1715
297,1727,553,1097
1179,1033,1098,1415
245,245,490,935
664,213,341,38
1756,445,274,1391
376,1611,957,233
427,427,427,1243
548,274,274,1485
1283,125,1447,1194
1672,1699,814,1388
1349,1502,126,369
1964,982,982,1082
390,780,390,522
1100,1151,1591,675
792,736,1871,737
320,320,320,666
1377,309,1815,174
1752,1505,62,1670
1883,1487,121,1513
430,215,215,118
1703,1079,758,1326
997,1844,1470,1272
468,468,468,1700
489,501,1089,1631
472,1610,1039,932
518,1480,1937,473
507,1014,507,419
1976,1058,1678,1758
1767,1205,1936,1537
1392,903,35,1473
871,689,410,1757
974,487,487,1414
1950,1425,1372,101
277,140,1624,7
1577,424,1379,684
554,277,277,1404
937,249,414,1370
1868,1509,9,509
1207,951,1812,193
1021,1580,1034,432
1314,1314,1314,949
1441,1637,517,1883
842,76,472,1089
1817,1356,823,1955
1859,1103,693,1360
388,1584,1965,1508
797,797,1594,4
870,1740,870,1539
1280,640,640,1407
1384,1384,1384,1950
388,1501,316,196
674,1209,335,1428
885,1407,1925,235
1734,1775,862,1482
973,973,1946,1870
1169,1746,773,1271
1945,528,1889,1677
1348,926,1914,512
547,1707,403,849
1457,969,42,1344
1394,480,1890,732
1927,672,1718,255
576,954,900,1289
888,1776,888,706
1161,850,1551,217
842,614,400,254
174,1752,196,784
769,370,1622,832
467,163,1069,1952
173,173,346,309
1544,1197,1400,1965
292,292,584,186
418,836,418,315
340,680,340,309
704,1167,1608,1499
308,154,154,1573
1831,649,1155,1972
126,1733,1343,1394
277,715,731,242
927,282,138,1863
309,618,309,1004
97,1082,1859,1734
839,335,1795,191
1889,1018,1468,937
946,515,1459,1236
930,1941,316,986
754,754,1508,1030
1625,1625,1625,289
542,542,1084,1293
1477,505,1439,663
1260,1917,479,152
817,817,1634,878
52,1320,181,1972
1366,1243,1784,1207
298,596,298,709
1097,771,1012,843
645,645,1290,1525
880,880,880,1151
1262,631,631,59
1321,1777,1410,987
91,182,91,196
417,622,719,1469
1091,1024,443,1418
1516,1516,1516,1173
671,1342,671,1055
1259,1893,171,411
587,587,1174,895
561,1122,561,744
307,171,1219,846
180,90,90,638
344,344,344,767
611,562,1647,1262
1364,1305,1489,117
521,478,1843,719
1949,629,1383,1546
1188,1038,1795,715
352,704,352,1011
247,887,1467,779
280,1228,1701,1074
1986,1735,566,827
562,1796,1293,37
308,1165,1387,1256
1988,658,591,361
1810,1953,235,337
522,522,1044,1766
354,708,354,1329
1600,865,741,1489
685,668,1731,1848
284,1105,1394,1469
832,647,1695,1997
265,265,530,1358
1457,1646,1711,240
210,105,105,969
1874,1297,643,266
981,981,981,1684
637,1274,637,728
1965,1285,186,101
197,197,394,796
1653,1407,1334,500
1156,578,578,826
446,1675,669,366
948,948,1896,1297
46,103,683,1422
37,74,37,1474
1461,996,1484,1971
1594,1567,345,231
1851,512,1008,1208
607,649,1883,1293
1943,994,576,885
937,705,1492,714
1503,635,155,1909
180,1516,1072,851
1781,189,219,965
257,257,514,1437
1628,325,732,661
1756,1484,90,73
110,110,220,834
981,897,284,252
1291,429,1591,171
260,535,334,1435
613,613,1226,1932
1630,1630,1630,1034
1571,1092,1875,469
564,564,1128,619
1896,284,1766,790
476,952,476,1711
467,663,1277,1777
91,1608,1675,974
134,1586,1333,1065
1840,920,920,1555
68,136,68,573
129,1473,1187,1779
1640,820,820,389
46,46,46,1634
508,254,254,1616
952,1809,1688,838
854,858,1066,850
412,206,206,1287
540,39,554,630
798,1277,909,766
1129,313,1462,535
340,340,340,1837
1108,1108,1108,1567
649,1298,649,1037
877,355,818,1500
1639,1516,976,1933
483,483,966,1129
1868,934,934,693
1250,1898,799,377
1577,1013,1614,1768
328,656,328,691
535,535,535,1665
1085,754,804,1838
1708,1708,1708,1268
1718,1718,1718,2000
1283,1216,1375,1796
56,112,56,728
90,45,45,1747
797,1594,797,275
14,14,14,1917
1096,661,68,935
219,219,219,963
1007,566,674,453
1554,777,777,1330
167,167,334,1528
541,541,541,492
870,870,1740,1162
1019,346,1071,1169
1794,897,897,267
1504,278,967,1110
1987,1987,1987,237
1201,1467,1879,364
1290,1791,475,144
1624,214,486,1758
516,258,258,1459
655,655,655,1248
222,444,222,1609
918,1836,918,361
1128,46,428,145
1081,637,142,1415
128,128,256,1245
1006,906,1194,323
446,1991,236,1330
916,996,1006,1223
667,667,1334,835
952,1692,302,282
918,425,683,347
145,145,290,1344
1024,1452,229,902
1466,1466,1466,523
1997,517,1175,569
1551,167,1995,1069
1605,142,1534,246
1887,900,362,1355
409,877,1196,1146
779,779,779,939
1207,1152,40,1145
594,297,297,309
462,924,462,1072
324,1063,994,108
1891,1116,1682,535
753,706,1533,205
472,443,1148,1177
809,809,1618,1666
736,1045,1677,1022
1700,850,850,1910
468,936,468,45
1387,1147,1447,440
126,311,1214,97
175,1079,432,754
1166,583,583,1597
1902,200,507,102
1430,1430,1430,393
504,252,252,1842
971,1405,432,1979
418,209,209,315
154,1205,811,1779
245,245,245,1136
359,813,31,278
52,1408,1562,1070
347,1738,767,1897
844,844,1688,607
832,683,1866,1541
624,1248,624,1945
769,197,135,389
991,806,1592,1976
1711,255,789,318
1368,65,714,674
779,451,1572,1419
1797,1803,1214,1205
644,810,320,1149
1943,557,225,158
1552,776,776,1336
29,1107,1195,1948
344,904,1768,1135
1765,1690,850,1536
661,661,1322,1086
1196,965,1622,1700
1821,336,1178,1124
982,982,1964,925
245,490,245,984
1052,116,1111,45
581,947,1326,1321
189,189,378,665
523,523,523,295
1677,104,1058,1979
492,521,1963,663
1098,1577,249,1834
684,684,1368,1827
255,255,255,1074
1879,889,1241,625
1236,1604,1433,592
1965,1114,1256,1585
1424,1588,84,1669
1220,1880,676,1163
1613,1738,1422,1179
111,523,1763,1327
1210,1744,312,1169
92,46,46,1463
1869,402,1226,193
1832,198,1592,1093
922,1614,266,760
773,483,1803,1030
1686,844,811,858
424,424,424,1200
1302,651,651,1689
1358,44,1878,748
1522,1522,1522,1544
632,1752,1971,104
1597,1597,1597,1469
474,237,237,1767
665,1179,148,917
426,406,1191,1941
273,598,830,848
852,1704,852,1621
1141,1141,1141,1667
1938,969,969,1703
1546,39,335,1368
1998,1668,341,535
1793,354,1960,40
1634,1625,574,1107
614,1228,614,585
386,1053,1520,1260
293,579,254,1905
848,1696,848,673
341,341,682,1119
1928,1928,1928,1461
1656,828,828,1227
730,775,407,1824
719,1886,1504,1588
197,471,929,580
492,984,492,77
1961,346,1933,1864
1802,1870,284,1809
96,1161,1008,1817
1936,598,1588,1096
753,1071,932,941
460,460,460,1961
904,1430,1296,1746
77,154,77,315
1290,201,1411,1706
1264,1264,1264,1319
55,1051,1447,1843
1011,1158,1007,1549
683,1366,683,372
1721,553,495,1047
1738,1006,486,1468
1850,1840,830,160
1066,908,717,427
163,163,326,1109
254,32,895,1358
44,44,44,105
1469,1224,1454,1858
413,413,413,1845
60,120,60,1465
485,49,910,63
1934,1934,1934,1636
661,1322,661,1074
796,1965,1424,1098
1765,397,1523,1858
816,816,1632,1115
1290,645,645,1865
1431,185,56,587
1436,1034,182,302
582,167,1461,1855
1372,1372,1372,230
650,839,1620,1873
1735,1870,1870,1642
125,210,1523,1154
474,994,227,893
1564,782,782,1439
630,630,1260,1793
1119,1638,1575,460
254,254,508,694
1747,1680,1076,881
1305,1926,706,102
936,1592,186,352
28,28,56,106
78,1145,231,273
675,1350,675,135
1104,1514,73,1532
1771,178,1165,96
804,109,208,1256
326,441,1527,541
897,695,1056,761
1076,1076,1076,820
433,433,433,1724
294,588,294,83
1520,344,1059,726
473,792,610,1217
72,1205,1795,476
600,522,876,251
1186,593,593,1523
18,9,9,635
969,1798,402,1667
1327,1978,116,1613
519,519,519,1336
935,454,1980,995
1515,848,377,819
978,978,1956,1525
1249,1414,1425,1764
1946,653,1762,50
1348,674,674,401
909,985,925,987
266,266,266,421
1632,1632,1632,188
1987,209,517,586
1857,734,1324,99
1025,1964,174,873
1032,1323,771,1586
44,88,44,845
780,780,1560,1803
312,624,312,1769
299,299,598,987
559,559,1118,761
125,551,215,1277
399,693,1623,1133
271,1604,1239,843
812,1624,812,120
1981,843,1593,1475
1889,964,1893,390
102,102,204,792
172,355,981,991
1162,581,581,1887
775,775,775,1972
1605,727,125,1918
1490,1392,201,1164
42,968,1207,331
656,328,328,1909
822,822,1644,227
26,13,13,1951
1224,1224,1224,826
528,573,897,1456
851,564,1681,502
305,305,305,105
346,1650,1426,1958
1388,668,1187,1527
1662,899,1646,1088
1997,1373,1619,1569
118,118,118,14
175,175,350,1726
1704,852,852,576
1286,42,130,1567
573,1991,200,1484
34,34,68,476
626,626,1252,1583
979,1958,979,881
483,1798,1268,1132
132,264,132,1254
812,1624,812,1358
1151,1829,1022,338
676,539,343,1572
17,34,17,1722
564,282,282,1093
701,1630,1687,184
1017,1017,1017,155
743,1906,822,1761
1218,569,20,235
100,100,100,1931
1827,490,189,1045
884,432,1015,297
183,183,366,1859
1006,1056,339,1994
94,862,593,493
664,332,332,1462
554,809,1514,730
581,581,1162,101
1898,671,963,524
957,323,757,1318
1325,1325,1325,1263
443,650,849,840
1049,1842,514,463
1164,1846,1140,336
386,431,775,618
1239,1927,1470,1230
25,1551,1325,1118
390,288,96,1187
465,1142,807,1334
1676,1795,858,1657
69,69,138,1509
232,116,116,907
1913,1156,603,1885
1246,390,1181,469
908,908,908,1323
553,553,1106,288
961,1647,485,373
821,821,821,377
1305,536,1072,573
886,1870,1627,1111
1720,1720,1720,1604
642,340,862,419
1601,1476,1519,138
711,1422,711,1175
1133,1991,802,1375
262,524,262,1725
551,551,551,844
1772,1233,1714,790
520,1151,659,871
770,1665,1999,1945
406,1549,618,1150
685,194,1617,455
328,164,164,865
311,1403,53,769
278,1613,1572,1891
1502,514,771,1690
661,1690,1422,1542
1210,1894,234,933
211,422,211,181
1912,675,1456,49
1699,946,618,287
326,635,681,1916
1707,29,1227,305
412,445,1873,1797
508,713,1271,1497
296,80,371,498
286,143,143,837
312,1395,1206,212
1398,699,699,1479
859,686,910,849
43,1681,1939,599
115,230,115,139
227,454,227,1783
1430,1853,194,1012
1674,1188,774,837
1834,1834,1834,1373
910,910,1820,432
1002,1002,1002,344
1922,961,961,285
1570,1570,1570,488
1470,1077,363,1622
216,108,108,146
1927,1927,1927,181
178,483,877,523
1758,1012,466,572
1877,1877,1877,810
899,1798,899,1074
530,542,1779,1706
1694,396,1674,1267
896,1792,896,1666
372,862,1692,1756
50,100,50,1382
827,827,827,283
1241,119,147,1609
1290,1290,1290,1358
980,1746,945,1589
642,1296,1310,868
672,672,672,1760
1831,131,1400,1114
1836,642,131,474
1620,810,810,368
1946,1946,1946,412
612,335,1487,1272
592,739,59,26
1458,1458,1458,1363
784,784,1568,622
610,614,488,1009
1105,886,1426,241
533,1054,281,1320
465,465,930,1962
1818,408,924,1935
343,375,1451,384
1744,1044,1206,1300
147,294,147,1006
176,352,176,4
1122,1122,1122,34
1036,518,518,981
498,1960,1329,1654
859,859,859,899
367,446,1617,761
1082,1881,514,156
261,246,1937,1730
1548,1600,387,408
678,172,1041,795
1101,118,1812,1351
641,1008,828,384
893,746,193,666
1897,407,339,323
89,1734,1898,882
215,215,430,1655
240,240,480,1737
1820,1130,903,1878
964,964,1928,1301
1022,1022,1022,707
1470,791,982,542
1898,1981,1664,737
1072,1484,1162,1278
561,1122,561,1766
609,940,1109,395
158,158,158,1740
1606,803,803,768
1597,451,824,132
587,1250,896,1865
37,292,1397,1996
47,778,1278,906
1734,1461,1601,309
831,913,817,1918
451,451,451,1577
1910,767,1962,1480
900,900,1800,693
698,698,1396,1494
622,676,1514,1717
1326,1326,1326,1848
756,217,1464,1082
1785,838,289,1564
618,309,309,390
1757,1204,1039,1911
862,327,999,246
1559,1559,1559,74
927,1854,927,1368
635,635,635,1035
987,987,1974,1883
66,779,636,1779
841,1682,841,1338
1501,748,875,1129
64,64,64,1833
564,833,427,992
300,600,300,210
359,873,714,736
824,139,1890,504
1592,1592,1592,436
514,257,257,1105
196,1043,494,1150
377,377,754,954
813,625,106,885
1217,1894,235,1497
258,394,1378,824
1881,520,1243,779
796,796,1592,556
1366,1273,621,120
1372,686,686,1556
877,1754,877,1730
1464,732,732,166
94,1620,1066,686
769,769,769,1160
759,434,1598,547
1992,137,2,438
1792,1617,549,1721
886,886,886,1177
859,1718,859,1404
658,658,1316,92
505,972,1236,1001
879,879,879,1194
5,1300,1214,419
345,345,345,371
568,4,46,975
1219,1957,1059,438
808,1903,1049,1095
985,824,665,1965
1339,869,149,1908
409,409,818,205
285,285,285,594
593,1571,947,788
1421,456,1149,505
273,546,273,985
1492,1328,347,600
1329,380,1346,1069
1660,830,830,97
894,447,447,480
283,1048,1038,108
1116,1998,1283,1792
1568,784,784,618
95,1734,789,1757
488,1414,505,968
164,1033,976,587
1811,386,1226,1214
312,312,624,804
1448,724,724,346
648,1296,648,930
1828,1107,1557,1990
564,1541,1530,1090
1577,1818,1930,1985
354,177,177,110
969,1177,1561,687
208,104,104,1931
1826,12,292,1268
1636,752,1799,107
983,1966,983,394
478,478,956,818
1430,1674,615,1222
656,1312,656,392
1218,676,192,1214
623,851,1191,193
1825,117,579,1243
1311,702,1088,1536
359,1976,1512,979
78,156,78,1253
1334,1548,1701,98
270,989,1001,1836
87,87,174,1179
1689,1190,788,418
1818,131,1576,209
992,992,1984,727
1094,515,1372,218
288,564,199,1411
1335,1677,593,1825
244,122,122,359
885,1624,1912,663
434,217,217,606
506,1435,1292,1024
646,1503,162,211
1237,1748,1498,988
921,1356,1971,1320
860,1333,1121,687
273,546,273,1592
1822,1872,225,1094
126,1962,1131,697
537,1074,537,1620
543,1904,1737,311
1057,1991,1657,538
202,1985,1626,903
1407,371,1699,1071
236,238,1707,213
858,426,194,124
1240,1047,1107,1013
16,1844,550,1192
279,558,279,935
1139,731,1417,684
1703,913,1782,556
462,231,231,968
216,1797,1692,1892
1121,1535,743,1865
332,332,664,96
842,1315,1076,1228
1655,1111,1037,879
558,279,279,817
189,1415,170,1979
939,172,566,1083
1545,1093,1371,1911
851,1827,408,1017
2000,1000,1000,321
822,273,1249,1324
988,1743,326,981
175,175,175,585
1429,1960,1689,1239
1830,576,722,1871
1592,1522,1437,587
976,1952,976,1526
248,496,248,1560
988,1976,988,1260
1496,772,1929,1029
888,888,888,1327
83,1927,274,981
330,1340,136,1183
892,563,71,1551
905,434,493,1748
1918,1127,976,20
450,1046,1424,271
1713,610,1179,65
635,40,704,1076
226,941,863,1687
62,62,124,1350
310,724,1612,898
238,119,119,1281
267,267,534,1132
1295,736,1151,327
1881,1872,1685,1706
1458,1222,778,226
1400,650,1230,1533
1978,479,1635,466
709,709,709,655
92,1699,330,1291
132,132,264,896
361,223,781,1185
423,1754,594,1325
1733,32,1323,1597
344,336,1816,1277
992,711,1703,724
260,1424,467,1792
70,70,70,619
1214,1077,457,1383
1354,348,1109,864
494,988,494,768
865,1807,1107,1846
881,1694,1296,1358
782,1564,782,1759
464,464,464,505
804,402,402,289
321,314,1524,258
1717,1299,53,1126
1723,886,1073,1540
1898,1744,826,784
190,720,169,280
1383,1256,1722,635
615,1230,615,746
1774,887,887,16
228,1276,1949,509
332,615,1943,1460
970,1923,1152,1609
957,594,404,715
696,696,1392,1509
1657,1151,769,265
698,698,1396,1629
858,1583,1568,1710
912,1749,1957,965
702,132,482,1665
745,476,288,209
264,264,528,480
1388,694,694,1922
688,1314,1954,1040
217,217,434,64
72,707,1345,1694
1413,335,1502,864
1420,1186,1439,460
802,694,1912,942
618,524,1860,264
1730,870,838,1481
1249,1561,499,532
283,566,283,1166
1122,680,1645,1562
492,246,246,1044
391,782,391,406
694,1388,694,1772
620,620,620,731
599,1485,1061,904
826,353,521,1110
877,877,1754,1527
234,117,117,1554
1155,437,1300,481
1102,103,1769,1121
1710,1300,573,1497
955,1857,1898,1718
1158,119,1850,1556
1285,1256,339,1677
837,1674,837,435
